timestamp,x,y,z
6.978,0.0000,0.0000,0.0000
7.045,0.0000,0.0000,0.0000
7.107,0.0000,0.0000,0.0000
7.172,0.0000,0.0000,0.0000
7.242,0.0000,0.0000,0.0000
7.317,0.0000,0.0000,0.0000
7.380,0.0000,0.0000,0.0000
7.438,0.0000,0.0000,0.0000
7.505,0.0000,0.0000,0.0000
7.578,0.0000,0.0000,0.0000
7.639,0.0000,0.0000,0.0000
7.705,0.0000,0.0000,0.0000
7.773,0.0000,0.0000,0.0000
7.843,0.0000,0.0000,0.0000
7.905,0.0000,0.0000,0.0000
7.968,0.0000,0.0000,0.0000
8.038,0.0000,0.0000,0.0000
8.111,0.0000,0.0000,0.0000
8.171,0.0000,0.0000,0.0000
8.237,0.0000,0.0000,0.0000
8.300,0.0000,0.0000,0.0000
8.375,0.0000,0.0000,0.0000
8.436,0.0000,0.0000,0.0000
8.501,0.0000,0.0000,0.0000
8.570,0.0000,0.0000,0.0000
8.639,0.0000,0.0000,0.0000
8.701,0.0000,0.0000,0.0000
8.770,0.0000,0.0000,0.0000
8.832,0.0000,0.0000,0.0000
8.906,0.0000,0.0000,0.0000
8.967,0.0000,0.0000,0.0000
9.032,0.0000,0.0000,0.0000
9.095,0.0000,0.0000,0.0000
9.170,0.0000,0.0000,0.0000
9.232,0.0000,0.0000,0.0000
9.298,0.0000,0.0000,0.0000
9.366,0.0000,0.0000,0.0000
9.434,0.0000,0.0000,0.0000
9.495,0.0000,0.0000,0.0000
9.567,0.0000,0.0000,0.0000
9.632,0.0000,0.0000,0.0000
9.702,0.0000,0.0000,0.0000
9.768,0.0000,0.0000,0.0000
9.829,0.0000,0.0000,0.0000
9.898,0.0000,0.0000,0.0000
9.967,0.0000,0.0000,0.0000
10.030,0.0000,0.0000,0.0000
10.093,0.0000,0.0000,0.0000
10.165,0.0000,0.0000,0.0000
10.235,0.0000,0.0000,0.0000
10.296,0.0000,0.0000,0.0000
10.361,0.0000,0.0000,0.0000
10.424,0.0000,0.0000,0.0000
10.495,0.0000,0.0000,0.0000
10.561,0.0000,0.0000,0.0000
10.625,0.0000,0.0000,0.0000
10.693,0.0000,0.0000,0.0000
10.762,0.0000,0.0000,0.0000
10.823,0.0000,0.0000,0.0000
10.948,0.0000,0.0000,0.0000
11.064,0.0000,0.0000,0.0000
11.171,0.0000,0.0000,0.0000
11.273,0.0000,0.0000,0.0000
11.390,0.0000,0.0000,0.0000
11.500,0.0000,0.0000,0.0000
11.624,0.0000,0.0000,0.0000
11.696,0.0000,0.0000,0.0000
11.801,0.0000,0.0000,0.0000
11.886,0.0000,0.0000,0.0000
11.955,0.0000,0.0000,0.0000
12.016,0.0000,0.0000,0.0000
12.104,0.0000,0.0000,0.0000
12.217,0.0000,0.0000,0.0000
12.333,0.0000,0.0000,0.0000
12.447,0.0000,0.0000,0.0000
