sensor,true_distance_mm,sample_id,reading_mm
Right,1000,100,990.8
Rear,100,1,99.0
Rear,100,2,101.7
Rear,100,3,106.4
Rear,100,4,105.1
Rear,100,5,101.0
Rear,100,6,100.7
Rear,100,7,103.6
Rear,100,8,102.2
Rear,100,9,102.0
Rear,100,10,100.7
Rear,100,11,103.2
Rear,100,12,104.5
Rear,100,13,102.5
Rear,100,14,104.2
Rear,100,15,102.5
Rear,100,16,109.0
Rear,100,17,104.1
Rear,100,18,105.9
Rear,100,19,98.5
Rear,100,20,100.9
Rear,100,21,102.1
Rear,100,22,100.5
Rear,100,23,97.3
Rear,100,24,101.6
Rear,100,25,106.4
Rear,100,26,103.6
Rear,100,27,103.8
Rear,100,28,104.9
Rear,100,29,102.0
Rear,100,30,105.3
Rear,100,31,102.7
Rear,100,32,104.1
Rear,100,33,100.1
Rear,100,34,102.6
Rear,100,35,103.5
Rear,100,36,100.7
Rear,100,37,99.9
Rear,100,38,98.6
Rear,100,39,103.5
Rear,100,40,103.0
Rear,100,41,104.7
Rear,100,42,103.8
Rear,100,43,107.2
Rear,100,44,103.2
Rear,100,45,104.6
Rear,100,46,103.3
Rear,100,47,102.8
Rear,100,48,101.4
Rear,100,49,104.0
Rear,100,50,102.7
Rear,100,51,100.0
Rear,100,52,102.9
Rear,100,53,99.9
Rear,100,54,102.9
Rear,100,55,105.1
Rear,100,56,104.2
Rear,100,57,99.2
Rear,100,58,98.9
Rear,100,59,96.6
Rear,100,60,101.6
Rear,100,61,102.4
Rear,100,62,98.0
Rear,100,63,100.9
Rear,100,64,98.2
Rear,100,65,100.9
Rear,100,66,105.2
Rear,100,67,102.8
Rear,100,68,106.3
Rear,100,69,104.1
Rear,100,70,101.3
Rear,100,71,106.2
Rear,100,72,104.6
Rear,100,73,98.3
Rear,100,74,101.6
Rear,100,75,100.6
Rear,100,76,101.9
Rear,100,77,103.2
Rear,100,78,105.2
Rear,100,79,103.1
Rear,100,80,101.7
Rear,100,81,104.6
Rear,100,82,101.7
Rear,100,83,104.0
Rear,100,84,101.9
Rear,100,85,105.5
Rear,100,86,102.7
Rear,100,87,101.1
Rear,100,88,99.4
Rear,100,89,102.8
Rear,100,90,101.3
Rear,100,91,105.7
Rear,100,92,104.0
Rear,100,93,103.1
Rear,100,94,101.7
Rear,100,95,103.9
Rear,100,96,100.1
Rear,100,97,97.6
Rear,100,98,99.4
Rear,100,99,102.6
Rear,100,100,107.6
Rear,300,1,303.3
Rear,300,2,303.9
Rear,300,3,303.9
Rear,300,4,312.8
Rear,300,5,303.9
Rear,300,6,303.0
Rear,300,7,305.5
Rear,300,8,307.0
Rear,300,9,297.5
Rear,300,10,300.9
Rear,300,11,307.4
Rear,300,12,303.1
Rear,300,13,299.0
Rear,300,14,308.2
Rear,300,15,301.4
Rear,300,16,308.9
Rear,300,17,312.5
Rear,300,18,301.5
Rear,300,19,307.0
Rear,300,20,304.2
Rear,300,21,301.1
Rear,300,22,302.6
Rear,300,23,307.4
Rear,300,24,300.5
Rear,300,25,298.5
Rear,300,26,299.7
Rear,300,27,303.7
Rear,300,28,306.1
Rear,300,29,303.9
Rear,300,30,306.0
Rear,300,31,301.6
Rear,300,32,301.4
Rear,300,33,303.0
Rear,300,34,310.0
Rear,300,35,297.9
Rear,300,36,295.1
Rear,300,37,308.0
Rear,300,38,309.3
Rear,300,39,302.4
Rear,300,40,302.9
Rear,300,41,305.6
Rear,300,42,309.1
Rear,300,43,308.3
Rear,300,44,311.1
Rear,300,45,309.1
Rear,300,46,298.2
Rear,300,47,302.4
Rear,300,48,302.6
Rear,300,49,307.6
Rear,300,50,306.4
Rear,300,51,304.7
Rear,300,52,302.5
Rear,300,53,309.7
Rear,300,54,301.2
Rear,300,55,312.1
Rear,300,56,306.2
Rear,300,57,306.7
Rear,300,58,304.4
Rear,300,59,298.5
Rear,300,60,304.3
Rear,300,61,308.0
Rear,300,62,307.9
Rear,300,63,300.2
Rear,300,64,303.6
Rear,300,65,295.2
Rear,300,66,307.5
Rear,300,67,307.4
Rear,300,68,308.3
Rear,300,69,299.6
Rear,300,70,300.6
Rear,300,71,298.7
Rear,300,72,299.1
Rear,300,73,306.3
Rear,300,74,305.8
Rear,300,75,302.4
Rear,300,76,301.4
Rear,300,77,306.0
Rear,300,78,299.2
Rear,300,79,302.8
Rear,300,80,302.9
Rear,300,81,294.5
Rear,300,82,302.3
Rear,300,83,303.2
Rear,300,84,300.9
Rear,300,85,304.1
Rear,300,86,311.6
Rear,300,87,298.7
Rear,300,88,299.8
Rear,300,89,305.4
Rear,300,90,308.8
Rear,300,91,307.4
Rear,300,92,306.5
Rear,300,93,302.1
Rear,300,94,295.9
Rear,300,95,308.0
Rear,300,96,298.8
Rear,300,97,298.7
Rear,300,98,302.3
Rear,300,99,301.3
Rear,300,100,299.8
Rear,600,1,606.5
Rear,600,2,599.8
Rear,600,3,600.3
Rear,600,4,593.4
Rear,600,5,598.2
Rear,600,6,611.5
Rear,600,7,611.2
Rear,600,8,601.4
Rear,600,9,602.0
Rear,600,10,612.9
Rear,600,11,594.6
Rear,600,12,618.2
Rear,600,13,608.4
Rear,600,14,612.6
Rear,600,15,611.4
Rear,600,16,606.4
Rear,600,17,608.8
Rear,600,18,602.7
Rear,600,19,604.6
Rear,600,20,598.7
Rear,600,21,610.0
Rear,600,22,611.1
Rear,600,23,607.6
Rear,600,24,613.5
Rear,600,25,614.1
Rear,600,26,607.0
Rear,600,27,609.1
Rear,600,28,616.2
Rear,600,29,611.6
Rear,600,30,612.7
Rear,600,31,614.0
Rear,600,32,601.4
Rear,600,33,612.5
Rear,600,34,622.5
Rear,600,35,620.2
Rear,600,36,596.1
Rear,600,37,606.1
Rear,600,38,607.3
Rear,600,39,612.6
Rear,600,40,610.2
Rear,600,41,599.6
Rear,600,42,610.5
Rear,600,43,612.1
Rear,600,44,600.3
Rear,600,45,606.1
Rear,600,46,609.3
Rear,600,47,600.1
Rear,600,48,603.7
Rear,600,49,600.0
Rear,600,50,598.8
Rear,600,51,613.3
Rear,600,52,621.0
Rear,600,53,603.6
Rear,600,54,598.9
Rear,600,55,603.4
Rear,600,56,606.2
Rear,600,57,606.1
Rear,600,58,597.5
Rear,600,59,611.3
Rear,600,60,606.8
Rear,600,61,592.4
Rear,600,62,609.4
Rear,600,63,611.7
Rear,600,64,607.7
Rear,600,65,615.3
Rear,600,66,598.1
Rear,600,67,591.8
Rear,600,68,604.5
Rear,600,69,600.0
Rear,600,70,590.0
Rear,600,71,593.9
Rear,600,72,603.4
Rear,600,73,604.4
Rear,600,74,604.0
Rear,600,75,604.8
Rear,600,76,601.2
Rear,600,77,605.3
Rear,600,78,604.9
Rear,600,79,598.2
Rear,600,80,612.6
Rear,600,81,603.8
Rear,600,82,617.0
Rear,600,83,588.6
Rear,600,84,604.4
Rear,600,85,610.4
Rear,600,86,606.6
Rear,600,87,604.2
Rear,600,88,604.7
Rear,600,89,616.3
Rear,600,90,608.3
Rear,600,91,614.9
Rear,600,92,610.6
Rear,600,93,605.0
Rear,600,94,600.7
Rear,600,95,609.4
Rear,600,96,596.7
Rear,600,97,604.5
Rear,600,98,607.1
Rear,600,99,603.8
Rear,600,100,604.4
Rear,1000,1,1006.4
Rear,1000,2,994.8
Rear,1000,3,989.8
Rear,1000,4,1003.5
Rear,1000,5,1006.2
Rear,1000,6,1009.1
Rear,1000,7,997.9
Rear,1000,8,1019.0
Rear,1000,9,991.9
Rear,1000,10,1014.5
Rear,1000,11,1012.6
Rear,1000,12,1009.9
Rear,1000,13,1005.3
Rear,1000,14,1007.0
Rear,1000,15,1027.4
Rear,1000,16,1016.6
Rear,1000,17,1009.9
Rear,1000,18,1006.5
Rear,1000,19,1009.4
Rear,1000,20,1009.0
Rear,1000,21,996.0
Rear,1000,22,995.9
Rear,1000,23,1014.5
Rear,1000,24,998.1
Rear,1000,25,1000.2
Rear,1000,26,994.7
Rear,1000,27,1014.4
Rear,1000,28,1010.4
Rear,1000,29,1007.5
Rear,1000,30,1006.4
Rear,1000,31,1005.4
Rear,1000,32,995.9
Rear,1000,33,1002.2
Rear,1000,34,995.6
Rear,1000,35,1014.6
Rear,1000,36,1012.3
Rear,1000,37,990.3
Rear,1000,38,1005.1
Rear,1000,39,1000.5
Rear,1000,40,1011.7
Rear,1000,41,1006.7
Rear,1000,42,1005.3
Rear,1000,43,1011.8
Rear,1000,44,979.7
Rear,1000,45,1006.6
Rear,1000,46,1001.5
Rear,1000,47,1009.1
Rear,1000,48,1016.2
Rear,1000,49,1011.7
Rear,1000,50,999.7
Rear,1000,51,1020.3
Rear,1000,52,1011.3
Rear,1000,53,1028.6
Rear,1000,54,1018.5
Rear,1000,55,998.5
Rear,1000,56,1011.4
Rear,1000,57,1003.1
Rear,1000,58,992.6
Rear,1000,59,1011.9
Rear,1000,60,996.1
Rear,1000,61,1004.4
Rear,1000,62,1006.5
Rear,1000,63,999.9
Rear,1000,64,1023.0
Rear,1000,65,1006.0
Rear,1000,66,1010.7
Rear,1000,67,995.8
Rear,1000,68,1009.1
Rear,1000,69,1014.4
Rear,1000,70,1011.5
Rear,1000,71,1021.8
Rear,1000,72,1004.6
Rear,1000,73,1020.6
Rear,1000,74,1008.2
Rear,1000,75,1006.4
Rear,1000,76,1008.7
Rear,1000,77,992.6
Rear,1000,78,1001.8
Rear,1000,79,1011.2
Rear,1000,80,1006.9
Rear,1000,81,990.2
Rear,1000,82,995.1
Rear,1000,83,1014.8
Rear,1000,84,1010.6
Rear,1000,85,1008.8
Rear,1000,86,1006.4
Rear,1000,87,1008.2
Rear,1000,88,1014.0
Rear,1000,89,1012.2
Rear,1000,90,1005.4
Rear,1000,91,1014.5
Rear,1000,92,1008.9
Rear,1000,93,992.5
Rear,1000,94,1006.5
Rear,1000,95,1006.8
Rear,1000,96,1004.1
Rear,1000,97,1022.2
Rear,1000,98,1001.2
Rear,1000,99,1013.1
Rear,1000,100,999.9
